#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2419958,55006707,2,HOU50_gp02,PBI_JUDY_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2419958,55006708,3,HOU50_gp03,PBI_JUDY_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2419958,55006709,4,HOU50_gp04,PBI_JUDY_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
2419958,55006710,5,HOU50_gp05,PBI_JUDY_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
2419958,55006711,6,HOU50_gp06,PBI_JUDY_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2419958,55006712,7,HOU50_gp07,PBI_JUDY_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006713,8,HOU50_gp08,PBI_JUDY_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006714,9,HOU50_gp09,PBI_JUDY_9,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
2419958,55006715,10,HOU50_gp10,PBI_JUDY_10,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
2419958,55006716,11,HOU50_gp11,PBI_JUDY_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006717,12,HOU50_gp12,PBI_JUDY_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
2419958,55006718,13,HOU50_gp13,PBI_JUDY_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006719,14,HOU50_gp14,PBI_JUDY_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
2419958,55006720,15,HOU50_gp15,PBI_JUDY_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006721,17,HOU50_gp16,PBI_JUDY_17,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2419958,55006722,18,HOU50_gp18,PBI_JUDY_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006723,16,HOU50_gp17,PBI_JUDY_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2419958,55006724,19,HOU50_gp19,PBI_JUDY_19,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210403,-
2419958,55006725,20,HOU50_gp20,PBI_JUDY_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2419958,55006726,21,HOU50_gp21,PBI_JUDY_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2419958,55006727,22,HOU50_gp22,PBI_JUDY_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2419958,55006728,23,HOU50_gp23,PBI_JUDY_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2419958,55006729,24,HOU50_gp24,PBI_JUDY_24,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2419958,55006730,25,HOU50_gp25,PBI_JUDY_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006731,26,HOU50_gp26,PBI_JUDY_26,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210403,-
2419958,55006732,27,HOU50_gp27,PBI_JUDY_27,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2419958,55006733,28,HOU50_gp28,PBI_JUDY_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006734,29,HOU50_gp29,PBI_JUDY_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006735,30,HOU50_gp30,PBI_JUDY_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006736,31,HOU50_gp31,PBI_JUDY_31,-,-,-,lipase,protein-coding,-,-,-,lipase,20210403,-
2419958,55006737,32,HOU50_gp32,PBI_JUDY_32,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2419958,55006738,33,HOU50_gp33,PBI_JUDY_33,-,-,-,lipase,protein-coding,-,-,-,lipase,20210403,-
2419958,55006739,34,HOU50_gp34,PBI_JUDY_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006740,35,HOU50_gp35,PBI_JUDY_35,-,-,-,integrase,protein-coding,-,-,-,integrase,20210403,-
2419958,55006741,36,HOU50_gp36,PBI_JUDY_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006742,37,HOU50_gp37,PBI_JUDY_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006743,38,HOU50_gp38,PBI_JUDY_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006744,39,HOU50_gp39,PBI_JUDY_39,-,-,-,integrase,protein-coding,-,-,-,integrase,20210403,-
2419958,55006745,40,HOU50_gp40,PBI_JUDY_40,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210403,-
2419958,55006746,41,HOU50_gp41,PBI_JUDY_41,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210403,-
2419958,55006747,42,HOU50_gp42,PBI_JUDY_42,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210403,-
2419958,55006748,43,HOU50_gp43,PBI_JUDY_43,-,-,-,excise,protein-coding,-,-,-,excise,20201221,-
2419958,55006749,44,HOU50_gp44,PBI_JUDY_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006750,45,HOU50_gp45,PBI_JUDY_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006751,46,HOU50_gp46,PBI_JUDY_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006752,47,HOU50_gp47,PBI_JUDY_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006753,48,HOU50_gp48,PBI_JUDY_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006754,49,HOU50_gp49,PBI_JUDY_49,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
2419958,55006755,50,HOU50_gp50,PBI_JUDY_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006756,51,HOU50_gp51,PBI_JUDY_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006757,52,HOU50_gp52,PBI_JUDY_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006758,53,HOU50_gp53,PBI_JUDY_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006759,54,HOU50_gp54,PBI_JUDY_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2419958,55006760,55,HOU50_gp55,PBI_JUDY_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006761,56,HOU50_gp56,PBI_JUDY_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006762,57,HOU50_gp57,PBI_JUDY_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006763,58,HOU50_gp58,PBI_JUDY_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006764,59,HOU50_gp59,PBI_JUDY_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006765,60,HOU50_gp60,PBI_JUDY_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006766,61,HOU50_gp61,PBI_JUDY_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006767,62,HOU50_gp62,PBI_JUDY_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006768,63,HOU50_gp63,PBI_JUDY_63,-,-,-,DNA primase/polymerase,protein-coding,-,-,-,DNA primase/polymerase,20210403,-
2419958,55006769,64,HOU50_gp64,PBI_JUDY_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006770,65,HOU50_gp65,PBI_JUDY_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006771,66,HOU50_gp66,PBI_JUDY_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006772,67,HOU50_gp67,PBI_JUDY_67,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20201221,-
2419958,55006773,68,HOU50_gp68,PBI_JUDY_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006774,69,HOU50_gp69,PBI_JUDY_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006775,70,HOU50_gp70,PBI_JUDY_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006776,72,HOU50_gp72,PBI_JUDY_72,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
2419958,55006777,71,HOU50_gp71,PBI_JUDY_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006778,1,HOU50_gp01,PBI_JUDY_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210403,-
2419958,55154222,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
